tensor(4.9236, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.6287, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.3467, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.8216, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.8749, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1849, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0837, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.5775, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6006, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6510, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0041, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9509, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.2076, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.8985, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.1745, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.7693, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.3234, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.6397, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.0892, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3697, device='cuda:0', grad_fn=<DivBackward0>)
tensor(4.7849, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.2492, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6544, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.5979, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5606, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.6708, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9825, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.3624, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.4882, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.4671, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9452, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.9977, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.6962, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.5757, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1345, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.6931, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.5346, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.1887, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3429, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.1806, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.3308, device='cuda:0', grad_fn=<DivBackward0>)
tensor(2.2295, device='cuda:0', grad_fn=<DivBackward0>)
tensor(3.1863, device='cuda:0', grad_fn=<DivBackward0>)
